image_path,label,source,family,split
sid_export\fake\unknown_generator\0000000.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000001.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000002.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000009.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000011.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000013.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000016.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000017.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000024.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000025.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000026.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000027.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000029.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000030.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000033.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000034.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000035.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000037.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000041.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000042.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000044.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000050.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000051.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000057.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000058.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000059.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000060.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000065.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000066.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000068.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000069.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000070.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000071.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000073.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000075.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000078.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000081.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000082.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000086.jpg,1,sid_export,unknown_generator,train
